;links;names;addresses;states;prices;bedrooms;bathrooms;built_ups;built_years;house_types;furnishings;prices_per_sqft;images
0;https://www.propertyguru.com.my/property-listing/ohako-for-rent-by-eunice-sim-31246212;OHako;Jalan Pipit Bandar Puchong Jaya, Puchong, Selangor;Selangor;1300;2;2;815;2019;Service Residence;Partially Furnished;1.6;https://my1-cdn.pgimgs.com/listing/31246212/UPHO.148478820.R400X300/OHako-Puchong-Malaysia.jpg
1;https://www.propertyguru.com.my/property-listing/residency-v-for-rent-by-jacky-wan-21616907;Residency V;Jalan Sepadu 5 Off Taman United, Old Klang Road (Jalan Klang Lama), Kuala Lumpur;Kuala Lumpur;1900;2;2;645;2017;Service Residence;Fully Furnished;2.95;https://my2-cdn.pgimgs.com/listing/21616907/UPHO.122635547.R400X300/Residency-V-Old-Klang-Road-Jalan-Klang-Lama-Malaysia.jpg
2;https://www.propertyguru.com.my/property-listing/tropez-residences-tropicana-danga-bay-for-rent-by-steve-chong-31226681;Tropez Residences @ Tropicana Danga Bay;Danga Bay Off Jalan Skudai, Johor Bahru, Johor Bahru, Johor;Johor;1400;2;2;958;N.A;Service Residence;Fully Furnished;1.46;https://my1-cdn.pgimgs.com/listing/31226681/UPHO.148302344.R400X300/Tropez-Residences-Tropicana-Danga-Bay-Johor-Bahru-Malaysia.jpg
3;https://www.propertyguru.com.my/property-listing/the-greens-subang-west-for-rent-by-steven-wong-31315747;The Greens @ Subang West;Jalan Budiman 22/3, Subang West, Shah Alam, Selangor;Selangor;1600;3;2;1184;2018;Condominium;Fully Furnished;1.35;https://my2-cdn.pgimgs.com/listing/31315747/UPHO.149094705.R400X300/The-Greens-Subang-West-Shah-Alam-Malaysia.jpg
4;https://www.propertyguru.com.my/property-listing/south-view-serviced-apartments-for-rent-by-yvonne-tan-31113644;South View Serviced Apartments;2 Jalan Kerinchi, Kerinchi, Bangsar South, Kuala Lumpur;Kuala Lumpur;2600;2;2;823;2017;Service Residence;Fully Furnished;3.16;https://my2-cdn.pgimgs.com/listing/31113644/UPHO.147283335.R400X300/South-View-Serviced-Apartments-Bangsar-South-Malaysia.jpg
5;https://www.propertyguru.com.my/property-listing/united-point-residence-north-kiara-for-rent-by-joshua-tee-31233613;United Point Residence @ North Kiara;Jalan Lang Emas North Kiara, Kepong, Kuala Lumpur;Kuala Lumpur;1500;3;2;958;2020;Apartment;Unfurnished;1.57;https://my2-cdn.pgimgs.com/listing/31233613/UPHO.148366367.R400X300/United-Point-Residence-North-Kiara-Kepong-Malaysia.jpg
6;https://www.propertyguru.com.my/property-listing/g-residence-desa-pandan-for-rent-by-dave-loh-26417240;G Residence @ Desa Pandan;Jalan 1/76 Off Jalan Desa Pandan, Desa Pandan, Kuala Lumpur;Kuala Lumpur;2800;2;3;1076;2015;Service Residence;Fully Furnished;2.6;https://my1-cdn.pgimgs.com/listing/26417240/UPHO.130814940.R400X300/G-Residence-Desa-Pandan-Desa-Pandan-Malaysia.jpg
7;https://www.propertyguru.com.my/property-listing/united-point-residence-north-kiara-for-rent-by-joshua-tee-31277601;United Point Residence @ North Kiara;Jalan Lang Emas North Kiara, Kepong, Kuala Lumpur;Kuala Lumpur;1800;3;2;958;2020;Apartment;Partially Furnished;1.88;https://my1-cdn.pgimgs.com/listing/31277601/UPHO.148751800.R400X300/United-Point-Residence-North-Kiara-Kepong-Malaysia.jpg
8;https://www.propertyguru.com.my/property-listing/the-platino-for-rent-by-eva-siow-31315703;The Platino;Jalan Segenting, Tampoi, Johor Bahru, Johor;Johor;1950;3;2;1119;N.A;Apartment;Fully Furnished;1.74;https://my1-cdn.pgimgs.com/listing/31315703/UPHO.149094230.R400X300/The-Platino-Johor-Bahru-Malaysia.jpg
9;https://www.propertyguru.com.my/property-listing/united-point-residence-north-kiara-for-rent-by-joshua-tee-31305384;United Point Residence @ North Kiara;Jalan Lang Emas North Kiara, Kepong, Kuala Lumpur;Kuala Lumpur;2000;3;2;958;2020;Apartment;Fully Furnished;2.09;https://my1-cdn.pgimgs.com/listing/31305384/UPHO.148997416.R400X300/United-Point-Residence-North-Kiara-Kepong-Malaysia.jpg
10;https://www.propertyguru.com.my/property-listing/sentrio-suites-for-rent-by-habsah-bt-mohamed-salleh-31007662;Sentrio Suites;Jalan 1/76c Off Jalan 4/76, Desa Pandan, Desa Pandan, Kuala Lumpur;Kuala Lumpur;2800;3;2;950;2017;Service Residence;Fully Furnished;2.95;https://my1-cdn.pgimgs.com/listing/31007662/UPHO.146336266.R400X300/Sentrio-Suites-Desa-Pandan-Malaysia.jpg
11;https://www.propertyguru.com.my/property-listing/verdi-eco-dominiums-symphony-hills-for-rent-by-habsah-bt-mohamed-salleh-31008576;Verdi Eco-dominiums @ Symphony Hills;Persiaran Simfoni Off Persiaran Bestari, Symphony Hills, Cyber 9, Cyberjaya, Sepang, Selangor;Selangor;2700;3;3;1442;2016;Condominium;Fully Furnished;1.87;https://my1-cdn.pgimgs.com/listing/31008576/UPHO.146342130.R400X300/Verdi-Eco-dominiums-Symphony-Hills-Sepang-Malaysia.jpg
12;https://www.propertyguru.com.my/property-listing/mercu-summer-suites-kuala-lumpur-for-rent-by-kenji-yap-31315693;Mercu Summer Suites @ Kuala Lumpur;Mercu Summer Suites Jalan Cendana, Jalan Sultan Ismail, KL City, Kuala Lumpur;Kuala Lumpur;2000;1;1;800;N.A;Apartment;Fully Furnished;2.5;https://my1-cdn.pgimgs.com/listing/31315693/UPHO.149094160.R400X300/Mercu-Summer-Suites-Kuala-Lumpur-KL-City-Malaysia.jpg
13;https://www.propertyguru.com.my/property-listing/n-park-condominium-for-rent-by-anthony-liong-31315527;N-Park Condominium;Jalan Batu Uban, Batu Uban, Timor Laut (Island), Penang;Penang;950;3;2;700;1997;Condominium;Partially Furnished;1.36;"https://my1-cdn.pgimgs.com/listing/31315527/UPHO.149092566.R400X300/N-Park-Condominium-Timor-Laut-Island-Malaysia.jpg""}]"
14;https://www.propertyguru.com.my/property-listing/n-park-condominium-for-rent-by-anthony-liong-31315615;N-Park Condominium;Jalan Batu Uban, Batu Uban, Timor Laut (Island), Penang;Penang;1000;3;2;700;1997;Condominium;Fully Furnished;1.43;https://my1-cdn.pgimgs.com/listing/31315615/UPHO.149093378.R400X300/N-Park-Condominium-Timor-Laut-Island-Malaysia.jpg
15;https://www.propertyguru.com.my/property-listing/sentrio-suites-for-rent-by-habsah-bt-mohamed-salleh-31008199;Sentrio Suites;Jalan 1/76c Off Jalan 4/76, Desa Pandan, Desa Pandan, Kuala Lumpur;Kuala Lumpur;2800;3;2;950;2017;Service Residence;Fully Furnished;2.95;https://my1-cdn.pgimgs.com/listing/31008199/UPHO.146338864.R400X300/Sentrio-Suites-Desa-Pandan-Malaysia.jpg
16;https://www.propertyguru.com.my/property-listing/near-klcc-walk-to-ijn-setia-sky-residences-fully-furnished-ii-pavillion-kl-city-hospital-kl-for-rent-by-eiffel-lai-31251105;?NEAR KLCC WALK TO IJN? Setia Sky Residences FULLY FURNISHED II Pavillion KL CITY Hospital KL;KLCC, KL City, Kuala Lumpur;Kuala Lumpur;2600;3;3;1055;N.A;Condominium;Fully Furnished;2.46;https://my2-cdn.pgimgs.com/listing/31251105/UPHO.148521735.R400X300/%E3%80%90NEAR-KLCC-WALK-TO-IJN%E3%80%91-Setia-Sky-Residences-FULLY-FURNISHED-II-Pavillion-KL-CITY-Hospital-KL-KL-City-Malaysia.jpg
17;https://www.propertyguru.com.my/property-listing/the-square-one-city-for-rent-by-jack-ong-31220904;The Square @ One City;Jalan USJ 25/1A, USJ, Subang Jaya, Selangor;Selangor;1600;Studio;N.A;509;N.A;Service Residence;Partially Furnished;3.14;https://my2-cdn.pgimgs.com/listing/31220904/UPHO.148249297.R400X300/The-Square-One-City-Subang-Jaya-Malaysia.jpg
18;https://www.propertyguru.com.my/property-listing/sunway-mont-residences-for-rent-by-lucas-liew-31248496;Sunway Mont Residences;Mont Residences Jalan Kiara 5,, Mont Kiara, Kuala Lumpur;Kuala Lumpur;4200;3;2;1122;N.A;Condominium;Fully Furnished;3.74;https://my1-cdn.pgimgs.com/listing/31248496/UPHO.148498376.R400X300/Sunway-Mont-Residences-Mont-Kiara-Malaysia.jpg
19;https://www.propertyguru.com.my/property-listing/corner-1290sf-big-ampang-putra-residency-ampang-point-tesco-kl-city-maluri-pandan-indah-for-rent-by-eiffel-lai-31105978;?CORNER 1290SF BIG? Ampang Putra Residency (AMPANG POINT TESCO) KL CITY MALURI PANDAN INDAH;Ampang Jaya, Ampang, Selangor;Selangor;1800;3;2;1290;N.A;Condominium;Partially Furnished;1.4;https://my1-cdn.pgimgs.com/listing/31105978/UPHO.148658230.R400X300/%E3%80%90CORNER-1290SF-BIG%E3%80%91-Ampang-Putra-Residency-AMPANG-POINT-TESCO-KL-CITY-MALURI-PANDAN-INDAH-Ampang-Malaysia.jpg
20;https://www.propertyguru.com.my/property-listing/corner-1290sf-big-ampang-putra-residency-ampang-point-tesco-kl-city-maluri-pandan-indah-for-rent-by-eiffel-lai-31105978;?CORNER 1290SF BIG? Ampang Putra Residency (AMPANG POINT TESCO) KL CITY MALURI PANDAN INDAH;Ampang Jaya, Ampang, Selangor;Selangor;1800;3;2;1290;N.A;Condominium;Partially Furnished;1.4;https://my1-cdn.pgimgs.com/listing/31105978/UPHO.148658230.R400X300/%E3%80%90CORNER-1290SF-BIG%E3%80%91-Ampang-Putra-Residency-AMPANG-POINT-TESCO-KL-CITY-MALURI-PANDAN-INDAH-Ampang-Malaysia.jpg
21;https://www.propertyguru.com.my/property-listing/sunway-mont-residences-for-rent-by-lucas-liew-31248605;Sunway Mont Residences;Mont Residences Jalan Kiara 5,, Mont Kiara, Kuala Lumpur;Kuala Lumpur;5000;3;2;1122;N.A;Condominium;Fully Furnished;4.46;https://my1-cdn.pgimgs.com/listing/31248605/UPHO.148498794.R400X300/Sunway-Mont-Residences-Mont-Kiara-Malaysia.jpg
